No.,n(SMILES),p(SMILES),,,Jsc(mA/cm2),FF,Voc(V),'-HOMO_n(eV),'-LUMO_n(eV),Eg_n(eV),'-HOMO_p(eV),'-LUMO_p(eV),Eg_p(eV),PCE_max(%)
41,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C(C=CC=C5)=C5C/4=C(C#N)/C#N)=O)=C2)(C6=CC=C(CCCCCCCC)C=C6)C7=C3C=C(N(C(CCCCCCCC)CCCCCCCC)C8=CC9=C(C(C%10=C9SC(/C=C%11C(C(C=CC=C%12)=C%12C/%11=C(C#N)/C#N)=O)=C%10)(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCCCC)C=C%14)C=C%158)C%15=C7,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,14.27,0.678,0.97,5.46,3.65,1.81,5.33,2.92,2.41,9.48
42,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C45C(C=C(C6=C(C7=C8C=CC9C7C(C(N(C(CCCCC)CCCCC)C9=O)=O)=C6)C%10=CC=C%11C%12=C%10C8=CC=C%12C(N(C(CCCCC)CCCCC)C%11=O)=O)C=C%13)C%13C%14=C4C=C(C%15=C(C%16=CC=C(C%17=O)C%18C%16=C%19C=CC%18C(N%17C(CCCCC)CCCCC)=O)C(C%19=CC=C%20C(N(C(CCCCC)CCCCC)C%21=O)=O)=C%20C%21=C%15)C=C%14)=C(C%22C5C=CC(C(C=C%23C(N(C(CCCCC)CCCCC)C%24=O)=O)=C%25C%26=C%23C%24=CC=C%26C%27=CC=C(C%28=O)C%29C%27=C%25C=CC%29C(N%28C(CCCCC)CCCCC)=O)=C%22)C=C3)=C(C%30=C%31C=CC1C%302)C%32=CC=C%33C%34=C%32C%31=CC=C%34C(N(C(CCCCC)CCCCC)C%33=O)=O,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,10.4,0.561,0.93,5.8,3.75,2.05,5.41,3.57,1.84,5.4
43,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC(C3=CC(C4=C(C5=CC=C(C6=O)C7C5=C8C=CC7C(N6C(CCCCC)CCCCC)=O)C(C8=CC=C9C(N(C(CCCCC)CCCCC)C%10=O)=O)=C9C%10=C4)=CC(C(C=C%11C(N(C(CCCCC)CCCCC)C%12=O)=O)=C%13C%14=C%11C%12=CC=C%14C%15=CC=C(C%16=O)C%17C%15=C%13C=CC%17C(N%16C(CCCCC)CCCCC)=O)=C3)=C(C%18=C%19C=CC1C%182)C%20=CC=C%21C%22=C%20C%19=CC=C%22C(N(C(CCCCC)CCCCC)C%21=O)=O,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,12.4,0.622,0.87,5.81,3.84,1.97,5.41,3.57,1.84,6.7
44,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC(C7=CC(C8=C(C9=C%10C=CC%11C9C(C(N(C(CCCCC)CCCCC)C%11=O)=O)=C8)C%12=CC=C%13C%14=C%12C%10=CC=C%14C(N(C(CCCCC)CCCCC)C%13=O)=O)=CC(C(C=C%15C(N(C(CCCCC)CCCCC)C%16=O)=O)=C%17C%18=C%15C%16=CC=C%18C%19=CC=C(C%20=O)C%21C%19=C%17C=CC%21C(N%20C(CCCCC)CCCCC)=O)=C7)=CC(C%22=C(C%23=CC=C(C%24=O)C%25C%23=C%26C=CC%25C(N%24C(CCCCC)CCCCC)=O)C(C%26=CC=C%27C(N(C(CCCCC)CCCCC)C%28=O)=O)=C%27C%28=C%22)=C6)C=C%29C%30=C5C4=CC=C%30C(N(C(CCCCC)CCCCC)C%29=O)=O,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,,,13.6,0.597,0.9,5.84,3.77,2.07,5.41,3.57,1.84,7.3
45,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCCCCCC(CCCC)COC1=C(C)C2=NSN=C2C(C3=CC(SC(C)=C4)=C4S3)=C1OCC(CCCC)CCCCCC,,,3.94,0.46,0.87,5.51,3.84,1.67,5.51,3.82,1.69,1.57
46,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCCCCCC(CCCC)COC1=C(C)C2=NSN=C2C(C3=CC=C(C4=CC=C(C)S4)S3)=C1OCC(CCCC)CCCCCC,,,10.42,0.59,0.88,5.51,3.84,1.67,5.49,3.73,1.76,5.41
47,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CCCCCCC(CCCC)COC1=C(C)C2=NSN=C2C(C3=CC(F)=C(C4=C(F)C=C(C)S4)S3)=C1OCC(CCCC)CCCCCC,,,7.04,0.38,0.92,5.51,3.84,1.67,5.57,3.94,1.63,2.46
48,O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC(C(C=C6)=CC=C6C(C7=CC=C(C8=CC9=C%10C(C%11=CC=C%12C%13=C%11C9=CC=C%13C(N(C(CCC)CCC)C%12=O)=O)=CC=C(C%14=O)C%10C8C(N%14C(CCC)CCC)=O)C=C7)(C%15=CC=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18C%16C(N%22C(CCC)CCC)=O)C=C%15)C%23=CC=C(C%24=C%25C%26=C(C%27=CC=C%26C(N(C(CCC)CCC)C%25=O)=O)C(C%28=CC=C(C%29=O)C%30C%28=C%27C=CC%30C(N%29C(CCC)CCC)=O)=C%24)C=C%23)=C%31C%32=C5C4=CC=C%32C(N(C(CCC)CCC)C%31=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,11.55,0.47,0.85,6.06,3.75,2.31,5.04,3.45,1.59,4.71
49,O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC(C(C=C6)=CC=C6[Si](C7=CC=C(C8=CC9=C%10C(C%11=CC=C%12C%13=C%11C9=CC=C%13C(N(C(CCC)CCC)C%12=O)=O)=CC=C(C%14=O)C%10C8C(N%14C(CCC)CCC)=O)C=C7)(C%15=CC=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18C%16C(N%22C(CCC)CCC)=O)C=C%15)C%23=CC=C(C%24=C%25C%26=C(C%27=CC=C%26C(N(C(CCC)CCC)C%25=O)=O)C(C%28=CC=C(C%29=O)C%30C%28=C%27C=CC%30C(N%29C(CCC)CCC)=O)=C%24)C=C%23)=C%31C%32=C5C4=CC=C%32C(N(C(CCC)CCC)C%31=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,10.35,0.42,0.83,6.06,3.77,2.29,5.04,3.45,1.59,3.68
50,O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1=C32)C5=CC(C(S6)=CC7=C6C(C8=CC=C(C9=CC%10=C%11C(C%12=CC=C%13C%14=C%12C%10=CC=C%14C(N(C(CCC)CCC)C%13=O)=O)=CC=C(C%15=O)C%11=C9C(N%15C(CCC)CCC)=O)S8)=C(C=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18=C%16C(N%22C(CCC)CCC)=O)S%23)C%23=C7C%24=CC=C(C%25=C%26C%27=C(C%28=CC=C%27C(N(C(CCC)CCC)C%26=O)=O)C(C%29=CC=C(C(N(C(CCC)CCC)C%30=O)=O)C%31=C%30C=CC%28=C%29%31)=C%25)S%24)=C%32C%33=C5C4=CC=C%33C(N(C(CCC)CCC)C%32=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,15.02,0.58,0.81,5.94,3.79,2.15,5.04,3.45,1.59,7.38
51,O=C(N(C(CCC)CCC)C1=O)C2=CC=C(C3=C4C=CC1=C32)C5=CC(C(S6)=CC7=C6C(C8=CC=C(C9=CC%10=C%11C(C%12=CC=C%13C%14=C%12C%10=CC=C%14C(N(C(CCC)CCC)C%13=O)=O)=CC=C(C%15=O)C%11=C9C(N%15C(CCC)CCC)=O)[Se]8)=C(C=C(C%16=CC%17=C%18C(C%19=CC=C%20C%21=C%19C%17=CC=C%21C(N(C(CCC)CCC)C%20=O)=O)=CC=C(C%22=O)C%18=C%16C(N%22C(CCC)CCC)=O)S%23)C%23=C7C%24=CC=C(C%25=C%26C%27=C(C%28=CC=C%27C(N(C(CCC)CCC)C%26=O)=O)C(C%29=CC=C(C(N(C(CCC)CCC)C%30=O)=O)C%31=C%30C=CC%28=C%29%31)=C%25)[Se]%24)=C%32C%33=C5C4=CC=C%33C(N(C(CCC)CCC)C%32=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,14.36,0.55,0.81,5.97,3.81,2.16,5.04,3.45,1.59,6.61
52,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=CC=C(/C=C5C(N(CC)C(S\5)=S)=O)C6=C4N=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=N6)=C2)(C9=CC=C(CCCCCC)C=C9)C%10=C3C=C(C(C%11=C%12SC(C%13=CC=C(/C=C%14C(N(CC)C(S\%14)=S)=O)C%15=C%13N=C(C%16=CC=CC=C%16)C(C%17=CC=CC=C%17)=N%15)=C%11)(C%18=CC=C(CCCCCC)C=C%18)C%19=CC=C(CCCCCC)C=C%19)C%12=C%10,CC1=CC(CCCCCC)=C(C)S1,,,6.02,0.67,1,5.42,3.68,1.74,5.2,3.2,2,4.03
53,O=C(N(CC)C(S/1)=S)C1=C/C(C2=C3N=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=N2)=CC=C3C(S6)=CC7=C6C8=CC(C(CCCCCCCC)(CCCCCCCC)C9=C%10SC(C%11=CC=C(/C=C%12C(N(CC)C(S\%12)=S)=O)C%13=C%11N=C(C%14=CC=CC=C%14)C(C%15=CC=CC=C%15)=N%13)=C9)=C%10C=C8C7(CCCCCCCC)CCCCCCCC,CC1=CC(CCCCCC)=C(C)S1,,,7.34,0.69,0.95,5.35,3.67,1.68,5,3.1,1.9,4.81
54,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(CC(CC)CCCC)C8=C(C=C(C9=CC%10C%11C%12=C9C%13=CC=C(C(N%14C(CCCCCC)CCCCCC)=O)C%15=C%13C(C%12=CC=C%11C(N(C(CCCCCC)CCCCCC)C%10=O)=O)=CC=C%15C%14=O)S8)C(CC(CC)CCCC)=C7S6)C=C%16C%17=C5C4=CC=C%17C(N(C(CCCCCC)CCCCCC)C%16=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,8.96,0.42,0.87,5.82,3.87,1.95,5.29,3.72,1.57,3.26
55,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C(C4=C5C=CC1C42)C6=C(C7=C3SC8=C7C(CC(CC)CCCC)=C9C(C%10=C(C(C=C%11C(N(C(CCCCCC)CCCCCC)C%12=O)=O)=C%13C%14=C%11C%12=CC=C%14C%15=CC=C(C%16=O)C%17C%15=C%13C%10=CC%17C(N%16C(CCCCCC)CCCCCC)=O)S9)=C8CC(CC)CCCC)C=C%18C%19=C6C5=CC=C%19C(N(C(CCCCCC)CCCCCC)C%18=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,9.31,0.43,0.94,5.9,3.84,2.06,5.29,3.72,1.57,3.75
56,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(S6)C8=C(CC(CC)CCCC)C9=C(C(SC(C%10=CC%11C%12C%13=C%10C%14=CC=C(C(N%15C(CCCCCC)CCCCCC)=O)C%16=C%14C(C%13=CC=C%12C(N(C(CCCCCC)CCCCCC)C%11=O)=O)=CC=C%16C%15=O)=C%17)=C%17S9)C(CC(CC)CCCC)=C8S7)C=C%18C%19=C5C4=CC=C%19C(N(C(CCCCCC)CCCCCC)C%18=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,8.39,0.4,0.89,5.68,3.87,1.81,5.29,3.72,1.57,2.97
57,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C(C4=C5C=CC1C42)C6=C(C7=C3C8=C(S7)C9=C(CC(CC)CCCC)C%10=C(C(SC%11=C%12C(C=C%13C(N(C(CCCCCC)CCCCCC)C%14=O)=O)=C%15C%16=C%13C%14=CC=C%16C%17=CC=C(C%18=O)C%19C%17=C%15C%11=CC%19C(N%18C(CCCCCC)CCCCCC)=O)=C%12S%10)C(CC(CC)CCCC)=C9S8)C=C%20C%21=C6C5=CC=C%21C(N(C(CCCCCC)CCCCCC)C%20=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,12.5,0.47,0.95,5.69,3.82,1.87,5.29,3.72,1.57,5.59
58,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C(S6)=CC(C6=C7CC(CC)CCCC)=C(CC(CC)CCCC)C8=C7C9=C(S8)C%10=C(CC(CC)CCCC)C%11=C(C(SC%12=C%13C(CC(CC)CCCC)=C%14C(C=C(C%15=CC%16C%17C%18=C%15C%19=CC=C(C(N%20C(CCCCCC)CCCCCC)=O)C%21=C%19C(C%18=CC=C%17C(N(C(CCCCCC)CCCCCC)C%16=O)=O)=CC=C%21C%20=O)S%14)=C%12CC(CC)CCCC)=C%13S%11)C(CC(CC)CCCC)=C%10S9)C=C%22C%23=C5C4=CC=C%23C(N(C(CCCCCC)CCCCCC)C%22=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,5.38,0.39,0.88,5.44,3.87,1.57,5.29,3.72,1.57,1.85
59,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C(C4=C5C=CC1C42)C6=C(C7=C3SC8=C(CC(CC)CCCC)C9=C(C(CC(CC)CCCC)=C87)SC%10=C9SC%11=C(CC(CC)CCCC)C(C(SC%12=C%13C(CC(CC)CCCC)=C%14C(C%15=C(C(C=C%16C(N(C(CCCCCC)CCCCCC)C%17=O)=O)=C%18C%19=C%16C%17=CC=C%19C%20=CC=C(C%21=O)C%22C%20=C%18C%15=CC%22C(N%21C(CCCCCC)CCCCCC)=O)S%14)=C%12CC(CC)CCCC)=C%13S%23)=C%23C(CC(CC)CCCC)=C%11%10)C=C%24C%25=C6C5=CC=C%25C(N(C(CCCCCC)CCCCCC)C%24=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,8.89,0.43,0.98,5.51,3.78,1.73,5.29,3.72,1.57,3.69
60,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(C7=CC(F)=C(C8=CC=C(/C=C9S/C(N(CCCCCCCC)C/9=O)=C(C#N)/C#N)S8)C%10=NSN=C%107)=C6)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C=C(C%14=CC(F)=C(C%15=NSN=C%14%15)C(S%16)=CC=C%16/C=C%17C(N(/C(S\%17)=C(C#N)/C#N)CCCCCCCC)=O)S%13,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,15.18,0.576,1.02,5.47,3.65,1.82,5.22,3.64,1.58,9.14
61,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC=C(SCC(CC)CCCC)S3)=CC1=C(C4=CC=C(SCC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C(C7=NN(CCCCCCCC)N=C78)=C(C(C(N9CCCCCCCC)=O)=C8C%10=CC=C(C)S%10)C9=O)S6,,,16.62,0.6,0.915,5.61,4.02,1.59,5.38,3.54,1.84,9.12
62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,CC(SC1=C2C3=CC=C(CC(CC)CCCC)C=C3)=CC1=C(C4=CC=C(CC(CC)CCCC)C=C4)C5=C2C=C(S5)C6=CC=C(C(C7=NN(CCCCCCCC)N=C78)=C(C(C(N9CCCCCCCC)=O)=C8C%10=CC=C(C)S%10)C9=O)S6,,,16.39,0.677,0.918,5.61,4.02,1.59,5.43,3.58,1.85,10.19
63,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,FC1=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)C=C3)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C5C(C)=C1F,,,8.53,0.662,0.86,5.7,3.82,1.88,5.17,2.9,2.27,4.86
64,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,FC1=C(C2=CC=C(C3=CC=C(C4=CC=C(C)S4)C=C3F)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C5C(C)=C1F,,,13.15,0.648,0.91,5.7,3.82,1.88,5.33,2.94,2.39,7.75
65,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,FC1=C(C2=CC=C(C3=CC(F)=C(C4=CC=C(C)S4)C=C3F)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C5C(C)=C1F,,,15.99,0.609,1,5.7,3.82,1.88,5.54,2.98,2.56,9.7
66,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,FC1=C(C2=CC=C(C3=C(F)C(F)=C(C4=CC=C(C)S4)C(F)=C3F)S2)C5=NC(C6=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C6)=C(C7=CC=C(OCCCCCCCC)C(OCCCCCCCC)=C7)N=C5C(C)=C1F,,,4.82,0.574,1.06,5.7,3.82,1.88,5.68,3.13,2.55,2.93
67,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(C(C7=NSN=C78)=CC=C8/C=C9SC(N(C/9=O)CCC)=S)=C6)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C=C(C%13=CC=C(/C=C%14C(N(CCC)C(S\%14)=S)=O)C%15=NSN=C%13%15)S%12,CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=C(F)C(F)=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2,,,8.4,0.55,1.1,5.52,3.87,1.65,5.45,3.69,1.76,5.16
68,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C4C(C(C=C5C(N(C(CCCCCC)CCCCCC)C6=O)=O)=C7C8=C5C6=CC=C8C9=CC=C(C(N(C(CCCCCC)CCCCCC)C%10=O)=O)C%11=C%10C=C4C7=C9%11)=C%12C=C%13C%14=C%15C%12=C3C(C2=C1C=C%16)=C%16C%15=CC=C%14C(N(C(CCCCCC)CCCCCC)C%13=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,12.13,0.57,0.76,6.06,3.91,2.15,5.12,3.6,1.52,5.57
69,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C4C(C(C=C5C(N(C(CCCCCC)CCCCCC)C6=O)=O)=C7C8=C5C6=CC=C8C9=C(C%10=CC(C%11=C(C%12=C%13C(C%14=C%15C(C%16=C%17C=CC%18=C%16C(C(N(C(CCCCCC)CCCCCC)C%18=O)=O)=C%15)=C%19C(C=C%20C%21=C%19C%17=CC=C%21C(N(C(CCCCCC)CCCCCC)C%20=O)=O)=C%14%22)=CC%23=C%12C(C(N(C(CCCCCC)CCCCCC)C%23=O)=O)=C%11)C%24=CC=C%25C%26=C%24C%13=C%22C=C%26C(N(C(CCCCCC)CCCCCC)C%25=O)=O)=CC(C%27=C(C%28=C%29C(C%30=C%31C(C%32=C%33C=CC%34=C%32C(C(N(C(CCCCCC)CCCCCC)C%34=O)=O)=C%31)=C%35C(C=C%36C%37=C%35C%33=CC=C%37C(N(C(CCCCCC)CCCCCC)C%36=O)=O)=C%30%38)=CC%39=C%28C(C(N(C(CCCCCC)CCCCCC)C%39=O)=O)=C%27)C%40=CC=C%41C%42=C%40C%29=C%38C=C%42C(N(C(CCCCCC)CCCCCC)C%41=O)=O)=C%10)C=C(C(N(C(CCCCCC)CCCCCC)C%43=O)=O)C%44=C%43C=C4C7=C9%44)=C%45C=C%46C%47=C%48C%45=C3C(C2=C1C=C%49)=C%49C%48=CC=C%47C(N(C(CCCCCC)CCCCCC)C%46=O)=O,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1,,,15.85,0.626,0.777,5.83,3.81,2.02,5.12,3.6,1.52,7.84
